-667,117,572,-461
-665,118,572,-464
-662,119,572,-467
-660,119,573,-470
-658,118,573,-472
-656,117,574,-474
-653,115,576,-476
-651,114,577,-478
-648,111,579,-480
-645,108,581,-482
-641,105,585,-484
-635,99,589,-487
-621,87,601,-494
-607,75,611,-501
-589,60,623,-509
-569,41,637,-517
-547,20,650,-526
-523,-4,664,-533
-498,-28,678,-539
-472,-54,691,-543
-445,-80,704,-545
-421,-104,716,-546
-398,-125,726,-545
-370,-148,737,-544
-357,-157,742,-544
-339,-170,748,-543
-324,-181,753,-542
-309,-193,757,-541
-304,-197,758,-541
-304,-198,757,-541
-307,-196,756,-542
-315,-189,754,-543
-324,-178,751,-546
-338,-157,745,-552
-349,-137,740,-557
-362,-116,733,-563
-374,-92,725,-569
-386,-69,716,-576
-396,-46,708,-581
-406,-22,699,-586
-415,2,690,-591
-420,26,683,-596
-428,60,670,-602
-433,85,660,-607
-439,110,648,-611
-444,133,637,-615
-448,156,626,-618
-451,176,616,-620
-453,193,607,-622
-455,207,600,-623
-457,218,594,-624
-459,225,590,-624
-460,230,587,-623
-461,231,587,-623
-460,231,588,-622
-460,229,590,-622
-460,227,591,-622
-460,224,591,-622
-460,221,592,-622
-459,217,593,-623
-460,213,593,-625
