-580,-13,709,-399
-564,-26,716,-408
-541,-40,730,-414
-513,-61,746,-418
-480,-90,762,-423
-439,-122,780,-427
-390,-161,797,-430
-336,-203,812,-430
-277,-249,824,-426
-218,-291,831,-419
-145,-347,832,-405
-97,-385,827,-395
-50,-422,819,-382
-12,-452,809,-375
13,-468,802,-369
20,-469,800,-371
9,-454,801,-389
-9,-430,802,-413
-56,-372,804,-459
-97,-317,800,-498
-148,-250,791,-537
-186,-197,781,-561
-254,-88,757,-595
-294,-10,737,-607
-322,57,716,-616
-344,111,697,-618
-354,148,684,-619
-353,162,685,-615
-349,169,690,-609
-345,172,698,-603
-343,173,703,-598
