-672,-276,532,-433
-666,-288,536,-429
-663,-292,541,-425
-654,-302,550,-419
-642,-317,565,-409
-620,-344,583,-394
-592,-376,604,-376
-555,-415,628,-351
-511,-457,652,-322
-441,-515,679,-278
-384,-556,696,-240
-327,-592,708,-200
-270,-624,715,-160
-221,-648,717,-124
-182,-666,716,-96
-150,-681,711,-75
-135,-688,708,-68
-134,-686,710,-72
-172,-664,717,-119
-216,-631,725,-169
-263,-589,730,-225
-304,-539,735,-275
-344,-486,733,-328
-382,-428,728,-374
-420,-368,714,-420
-450,-316,700,-453
-473,-270,687,-480
-488,-235,675,-499
-497,-209,669,-509
-497,-197,670,-513
