-125,-184,759,-610
-129,-167,743,-634
-97,-160,734,-652
-42,-161,732,-659
43,-174,734,-654
145,-195,727,-640
267,-221,704,-619
386,-245,667,-586
485,-270,621,-552
566,-288,571,-519
625,-298,526,-492
667,-302,491,-470
701,-294,467,-451
706,-286,467,-447
704,-273,481,-442
693,-259,506,-441
656,-234,562,-444
630,-220,597,-444
563,-189,675,-436
523,-171,716,-428
456,-141,777,-407
382,-108,832,-385
306,-74,876,-363
239,-38,910,-335
183,0,932,-309
131,34,946,-293
91,58,950,-289
