-241,-798,-103,541
-282,-790,-94,535
-315,-806,-104,488
-329,-839,-126,414
-323,-885,-164,290
-311,-913,-206,156
-289,-922,-254,13
-249,-907,-305,-143
-202,-873,-344,-278
-149,-833,-376,-374
-125,-818,-381,-411
-127,-819,-369,-418
-146,-850,-342,-371
-165,-887,-313,-294
-194,-917,-280,-204
-230,-938,-242,-91
-258,-945,-195,45
-273,-930,-145,194
-284,-896,-98,325
-291,-860,-61,412
-299,-837,-36,455
-318,-839,-16,440
-326,-851,-13,410
-344,-895,-24,282
-354,-916,-40,183
-350,-928,-95,-72
-323,-895,-146,-269
-271,-836,-203,-431
