-759,220,-109,602
-759,219,-113,601
-760,220,-117,598
-765,222,-127,590
-773,222,-143,576
-787,220,-167,550
-807,212,-197,513
-833,188,-234,463
-859,145,-277,404
-881,84,-332,325
-895,39,-373,239
-903,15,-386,185
-907,3,-390,155
-907,5,-389,156
-906,15,-383,174
-902,41,-368,217
-893,73,-347,274
-870,115,-302,370
-849,137,-262,436
-829,153,-223,487
-817,159,-193,518
-811,161,-164,536
-820,160,-143,530
-839,157,-124,504
-878,143,-108,442
-923,112,-104,352
-965,59,-136,215
-980,8,-172,96
-980,-30,-186,50
-980,-51,-186,29
-980,-60,-183,26
