664,293,-400,-558
675,286,-402,-547
691,278,-404,-530
714,265,-408,-502
742,250,-410,-466
779,231,-411,-412
815,216,-410,-345
859,193,-410,-236
879,176,-409,-166
891,157,-410,-112
895,141,-413,-86
897,128,-416,-73
895,129,-418,-78
891,132,-422,-97
879,144,-430,-141
861,165,-437,-197
834,196,-440,-265
799,227,-443,-333
760,255,-445,-398
719,280,-444,-454
685,300,-440,-496
654,317,-437,-528
625,334,-441,-549
618,336,-452,-547
621,331,-465,-535
639,317,-482,-506
661,301,-504,-466
687,281,-532,-405
727,240,-571,-294
747,217,-585,-225
775,174,-594,-122
793,150,-588,-48
805,132,-577,1
813,128,-566,19
818,129,-559,22
819,136,-556,5
819,148,-553,-22
817,157,-552,-44
