-504,-233,-312,769
-508,-300,-363,719
-471,-418,-427,648
-420,-526,-480,561
-353,-618,-529,460
-255,-696,-565,359
-99,-770,-585,232
-41,-789,-582,188
-36,-804,-568,168
-98,-801,-553,203
-167,-789,-525,270
-259,-748,-474,383
-358,-672,-409,502
-441,-556,-329,622
-491,-440,-255,706
-522,-353,-210,746
-550,-283,-178,764
-576,-242,-169,761
-584,-272,-190,740
-582,-345,-235,697
-562,-456,-307,617
-522,-577,-393,489
-428,-697,-501,280
-308,-759,-564,89
-197,-797,-569,21
-124,-813,-568,8
