-193,-525,-807,185
-158,-554,-807,121
-66,-571,-816,40
109,-567,-812,-82
289,-531,-768,-208
437,-483,-685,-324
561,-418,-572,-427
691,-295,-424,-504
752,-207,-345,-520
786,-144,-291,-524
793,-134,-282,-521
794,-169,-317,-488
775,-241,-379,-442
731,-334,-463,-371
638,-442,-575,-255
515,-527,-662,-132
426,-565,-703,-55
269,-608,-743,68
179,-626,-749,117
107,-641,-745,144
75,-655,-738,138
81,-668,-731,111
195,-680,-706,20
469,-634,-577,-207
572,-577,-485,-319
718,-414,-304,-467
786,-235,-172,-543
798,-142,-95,-576
778,-208,-107,-581
757,-275,-129,-577
765,-283,-148,-557
782,-266,-172,-535
794,-235,-201,-522
802,-210,-240,-503
814,-164,-296,-470
828,-78,-368,-414
828,0,-431,-356
815,5,-491,-305
804,-24,-517,-290
770,-48,-574,-271
696,-81,-654,-283
653,-90,-693,-289
587,-120,-737,-310
532,-142,-769,-322
484,-185,-764,-383
458,-266,-694,-486
456,-327,-633,-531
490,-333,-630,-500
516,-324,-646,-458
537,-330,-646,-429
559,-362,-626,-404
565,-367,-619,-400
551,-358,-623,-422
532,-360,-618,-450
514,-376,-601,-480
495,-388,-585,-510
473,-394,-580,-532
459,-405,-574,-542
449,-393,-596,-535
446,-392,-606,-527
452,-389,-612,-518
459,-377,-621,-509
458,-370,-632,-502
453,-379,-633,-498
454,-385,-629,-498
460,-381,-629,-495
463,-379,-630,-492
466,-384,-626,-492
470,-387,-621,-492
472,-388,-619,-491
473,-391,-617,-491
476,-389,-616,-490
484,-381,-615,-490
495,-369,-613,-490
507,-360,-621,-476
504,-365,-620,-475
497,-372,-623,-474
486,-379,-630,-470
476,-385,-643,-458
462,-399,-647,-453
454,-413,-647,-450
450,-423,-644,-450
458,-421,-640,-449
457,-426,-639,-446
405,-466,-642,-453
344,-496,-672,-426
268,-527,-708,-384
198,-551,-732,-344
114,-555,-767,-296
46,-551,-794,-248
-46,-542,-810,-213
-106,-521,-837,-118
-117,-523,-843,17
-89,-536,-821,172
-58,-536,-782,311
-39,-542,-731,411
-25,-546,-676,492
-13,-545,-628,554
-8,-545,-584,600
-5,-547,-564,617
-26,-544,-534,645
-32,-543,-492,678
-28,-548,-465,693
-24,-555,-461,690
-21,-562,-461,685
-22,-568,-462,679
-27,-575,-459,676
-47,-590,-452,666
-58,-599,-450,659
-61,-619,-437,648
-59,-633,-425,643
-61,-641,-420,638
