-281,-560,750,-208
-269,-509,783,-233
-248,-461,814,-250
-222,-414,847,-246
-187,-378,875,-235
-147,-357,898,-207
-104,-351,912,-180
-61,-370,914,-151
-21,-403,906,-120
10,-455,885,-88
32,-518,852,-60
40,-589,805,-42
42,-657,752,-28
41,-696,715,-23
38,-759,648,-19
31,-786,615,-27
22,-802,594,-41
16,-802,593,-61
9,-781,618,-84
6,-759,643,-92
5,-713,692,-105
12,-646,753,-120
22,-562,814,-138
36,-469,866,-162
46,-387,901,-184
53,-336,920,-191
57,-300,932,-190
56,-283,938,-187
