-659,-443,448,409
-709,-448,406,360
-758,-448,357,310
-800,-450,303,252
-833,-445,258,198
-856,-439,228,147
-861,-436,233,114
-860,-432,252,97
-847,-432,289,102
-828,-434,332,115
-811,-438,364,130
-777,-442,415,164
-738,-442,466,203
-677,-440,529,258
-633,-438,567,291
-598,-434,595,313
-584,-432,608,318
-579,-431,617,311
-597,-432,610,288
-614,-434,601,267
-651,-435,580,221
-695,-429,551,165
-737,-420,518,102
-782,-399,476,19
-800,-388,456,-15
-817,-378,431,-55
-830,-372,404,-92
-833,-371,395,-102
-836,-372,386,-110
-834,-378,384,-111
