-166,-570,791,-142
-167,-526,817,-166
-163,-463,848,-194
-160,-430,863,-207
-154,-378,884,-223
-140,-328,905,-231
-121,-278,925,-228
-90,-239,941,-217
-40,-214,955,-198
-11,-216,957,-191
31,-233,955,-176
70,-278,944,-160
105,-336,924,-144
131,-408,893,-132
154,-499,843,-120
161,-539,817,-116
168,-590,781,-114
167,-623,754,-118
165,-646,734,-126
157,-653,726,-144
152,-646,731,-152
143,-621,752,-162
132,-582,783,-171
127,-519,825,-180
125,-439,869,-188
125,-298,927,-189
126,-230,945,-194
129,-144,959,-205
127,-113,964,-200
